fraction,min_risk,max_stop,confirm_window,train_n,train_expectancy,train_winrate,train_dd,train_sharpe,val_n,val_expectancy,val_winrate,val_dd,val_sharpe,test_n,test_expectancy,test_winrate,test_dd,test_sharpe
0.7,0.3,1.5,10,178,0.07828815130726836,0.7921348314606742,4.950670332752544,0.10769610583980332,60,0.0404364365053443,0.8,3.0781242515650935,0.06824499252136061,52,0.07840292537037793,0.8269230769230769,3.54903138408386,0.1357729002668414
0.7,0.3,1.5,20,279,0.1319170626086391,0.8136200716845878,4.361036143623558,0.1875430954317005,87,0.033674598390797804,0.7586206896551724,5.123726853159701,0.0487848665351005,101,0.12785772397498307,0.8217821782178217,3.6911079035909182,0.19942449505086043
0.7,0.3,1.5,30,374,0.09765368395088665,0.7834224598930482,11.646651797928143,0.13872606974989665,116,0.02040529648570178,0.7068965517241379,6.7836855272982,0.026182436014915,136,0.15507639090988287,0.8088235294117647,5.616036280545131,0.21187125063926013
0.7,0.3,2.0,10,169,0.10210550894135491,0.8284023668639053,3.3338027652606197,0.14713200235913376,57,0.01647112861681309,0.8070175438596491,3.3102531138983595,0.02949381765723731,52,0.07146877248011302,0.8461538461538461,3.8425127485381023,0.1325108441835918
0.7,0.3,2.0,20,263,0.1669338415771763,0.8479087452471483,2.4331081907958207,0.2481792740052345,85,0.013203023310379123,0.7529411764705882,5.251050617471217,0.0191964006140176,97,0.14748450289977047,0.8556701030927835,3.0,0.24576379016111732
0.7,0.3,2.0,30,359,0.10246408029030683,0.8022284122562674,9.824560942010287,0.1509417600723486,110,0.015927935464864047,0.7181818181818181,7.741241910408146,0.02087030925593459,129,0.17678204848855578,0.8372093023255814,4.507534617055317,0.24981081029954125
0.7,0.3,2.5,10,169,0.10683347952904214,0.8402366863905325,3.4217537812172365,0.15681709716522146,57,0.011902234540404415,0.8070175438596491,3.3410220888002606,0.021371911850139078,52,0.056850728742892175,0.8461538461538461,3.997155947203548,0.1067298581277134
0.7,0.3,2.5,20,260,0.15819874818272842,0.85,2.8594917012448207,0.23688797293427166,80,0.026140514092538657,0.7625,5.301972931681622,0.0380562343843902,96,0.14293266051571782,0.8645833333333334,2.9743412256134696,0.24314517570898558
0.7,0.3,2.5,30,352,0.10023323725685834,0.8068181818181818,10.109185851498513,0.148793727209379,104,0.010168677700010278,0.7211538461538461,7.2707740625803865,0.013398990967479861,128,0.19207295631482746,0.8515625,4.5530655511296025,0.2765942615542617
0.7,0.5,1.5,10,173,0.0746585226792989,0.8034682080924855,4.10348212915512,0.1186661976609017,59,0.05807095237831625,0.8135593220338984,3.078124251565093,0.09986273252438001,49,0.018850607352984966,0.8163265306122449,3.54903138408386,0.03564295624777404
