fraction,min_risk,max_stop,confirm_window,train_n,train_expectancy,train_winrate,train_dd,train_sharpe,val_n,val_expectancy,val_winrate,val_dd,val_sharpe,test_n,test_expectancy,test_winrate,test_dd,test_sharpe
0.7,0.3,1.5,10,216,0.05727025431621969,0.8009259259259259,4.066144421211465,0.09231575215754889,74,0.11263965870613293,0.7972972972972973,4.349445079072622,0.1727824284326794,79,0.12083292003198781,0.8607594936708861,2.809353119046147,0.20054899303913828
0.7,0.3,1.5,20,345,0.08336459367941612,0.7913043478260869,4.671729740228185,0.11981851593034612,111,0.10137358595867918,0.7567567567567568,3.979272419627746,0.1289979261202953,122,0.16337101264886214,0.819672131147541,4.418419527643671,0.22698445823195745
0.7,0.3,1.5,30,467,0.044039950544145036,0.7623126338329764,7.105215059200076,0.0637551946676912,136,0.1472021765491942,0.7794117647058824,4.865396447948296,0.19136090718038354,154,0.24667270895648877,0.8376623376623377,4.60095943082279,0.2998553268475338
0.7,0.3,2.0,10,205,0.06749736401399394,0.8195121951219512,3.999853470325146,0.11234428678660846,70,0.11646225068793552,0.8285714285714286,2.9617010456688018,0.19524991375755682,79,0.11421742843877113,0.8734177215189873,3.4234181559044217,0.19767948162118415
0.7,0.3,2.0,20,321,0.07801760880342361,0.794392523364486,4.101115745528793,0.11207318993240595,102,0.09841376612936936,0.7843137254901961,3.3456788277510467,0.13970951707946935,119,0.15891146072792697,0.8319327731092437,3.5719156716023903,0.22715215117967819
0.7,0.3,2.0,30,438,0.050155472169613365,0.776255707762557,6.0350071529034,0.07407215424301054,130,0.1283011998229711,0.7923076923076923,5.390008241412138,0.18180356293480596,149,0.23267548244277575,0.8456375838926175,5.6369994240823225,0.28593810154305765
0.7,0.3,2.5,10,196,0.06282627780151684,0.826530612244898,4.103366279798362,0.1069872778183601,65,0.14467027714342043,0.8615384615384616,3.3715206738338646,0.2591028339862339,79,0.10432016776312925,0.8734177215189873,3.69421220238525,0.18120956675895428
0.7,0.3,2.5,20,308,0.08798272597031014,0.8051948051948052,4.201111379794638,0.127581853473073,96,0.11585902556714785,0.8020833333333334,3.3456788277510467,0.16667900627338664,118,0.13777289274042298,0.8305084745762712,5.225013357977787,0.2007044766044313
0.7,0.3,2.5,30,407,0.056128996776277716,0.7837837837837838,6.147491354394457,0.08322343799085935,126,0.12250881645005453,0.8015873015873016,4.422670638484417,0.17811381970419973,143,0.21430484549160495,0.8461538461538461,5.655676051616997,0.26786317562441037
0.7,0.5,1.5,10,208,0.024270695554443885,0.7980769230769231,6.624729591262481,0.04259421981724641,73,0.10514157183909711,0.7945205479452054,4.979011102889128,0.16096213039926235,76,0.10394113385159386,0.868421052631579,2.0,0.1958638513306065
0.7,0.5,1.5,20,325,0.03325819221189015,0.7907692307692308,5.55718676588796,0.05624286195074821,106,0.05946374777236689,0.7547169811320755,6.057593209351992,0.08205988827885274,111,0.18202325961992508,0.8558558558558559,2.203419527643611,0.28239331428074943
0.7,0.5,1.5,30,437,0.013536216215631633,0.7643020594965675,8.639330220166428,0.02162456664392434,126,0.13695007564199793,0.7936507936507936,5.30201804835894,0.19391020600958403,135,0.2066139523142783,0.8592592592592593,2.9069529652351918,0.32131871002591944
0.7,0.5,2.0,10,197,0.03307050439537884,0.817258883248731,4.560951527423801,0.060670470583228935,68,0.12488761100229026,0.8382352941176471,3.621701045668548,0.21314221809255926,76,0.0970645044323291,0.881578947368421,2.4692125484277927,0.19372616412174987
0.7,0.5,2.0,20,302,0.025403701559479745,0.7947019867549668,5.183770981382722,0.04367645095952687,97,0.09506358652024795,0.7938144329896907,4.60140344921744,0.1378733752741547,108,0.15983459716966789,0.8611111111111112,3.1285661570393923,0.2562530255186823
0.7,0.5,2.0,30,408,0.018706497056023286,0.7794117647058824,6.473807152810458,0.030891390363159903,121,0.14111027980298335,0.8099173553719008,5.772192513368985,0.20686320683831913,130,0.1889866798596036,0.8692307692307693,3.911650485436926,0.30453767352738825
0.7,0.5,2.5,10,188,0.026552554213394572,0.824468085106383,4.572478035933109,0.05046796346651091,64,0.13661825022379037,0.859375,4.031520673833611,0.2444202890435142,76,0.08677656241422768,0.881578947368421,2.7400065949086194,0.17419666646517637
0.7,0.5,2.5,20,289,0.03365724928691843,0.8062283737024222,4.968125732057201,0.059211362305665025,92,0.1009718511001853,0.8043478260869565,4.981451185474601,0.14747107336576623,107,0.16125115898197018,0.8691588785046729,2.136663843414711,0.2627399386485051
0.7,0.5,2.5,30,378,0.019859275559230415,0.7857142857142857,9.089221000557307,0.03321934123230502,117,0.13531024574257794,0.8205128205128205,4.772192513368985,0.20457744845164466,125,0.1847812617060761,0.872,3.911650485436926,0.29709970636110317
0.7,0.7,1.5,10,195,-0.001565057330641261,0.7948717948717948,8.008974098867611,-0.0028210468720840953,70,0.10663448057834159,0.8,4.5267646667014745,0.16452937911800988,70,0.09632628902160237,0.8857142857142857,2.0,0.21659491206706885
0.7,0.7,1.5,20,292,-0.012839423295998598,0.7808219178082192,9.734651349047642,-0.022751101803313096,99,0.03888570306822055,0.7676767676767676,7.546037902217668,0.05861241095401329,93,0.11397579162182575,0.8602150537634409,2.2214836039899843,0.2129005535471799
0.7,0.7,1.5,30,383,-0.016396181425116285,0.7597911227154047,11.70299400215335,-0.027190259337575837,114,0.09306048458992447,0.7894736842105263,6.277503438194083,0.1410891512013667,114,0.1114922066650399,0.8508771929824561,3.157789136825845,0.20505274282367472
0.7,0.7,2.0,10,184,0.014438328277726306,0.8206521739130435,4.778696490294614,0.02764503676940722,65,0.1274067145290086,0.8461538461538461,3.0721652373019896,0.22105537263023833,70,0.08817622758270253,0.9,2.3907050569907096,0.21757292276421783
0.7,0.7,2.0,20,274,-0.021805478505588116,0.7846715328467153,10.730731559758144,-0.03948905514157056,90,0.07411852094913243,0.8111111111111111,4.60140344921744,0.12050871511012129,92,0.0985494365595306,0.8695652173913043,3.1285661570393923,0.19450664211075283
0.7,0.7,2.0,30,360,-0.009764353796102953,0.7777777777777778,8.227163874680945,-0.016908201849560968,109,0.09453214130478098,0.8073394495412844,5.772192513368985,0.15055976754617623,110,0.09754204514727541,0.8636363636363636,3.911650485436926,0.1904306647395432
0.7,0.7,2.5,10,176,0.0183692455882113,0.8352272727272727,4.568890065702735,0.036910503708720704,61,0.13987945755003942,0.8688524590163934,3.452212973559151,0.2558415673490768,70,0.07700646196304957,0.9,2.641680303924531,0.19197780113038213
0.7,0.7,2.5,20,262,-0.018777381441124424,0.7938931297709924,11.215189697960675,-0.03488040728394336,85,0.07928128581382256,0.8235294117647058,5.006205677880285,0.13112013971299732,91,0.09946138362520145,0.8791208791208791,2.136663843414711,0.20267519418055974
0.7,0.7,2.5,30,332,-0.010640713918585927,0.7831325301204819,11.903976948765877,-0.0186996283902951,106,0.09877664138761491,0.8207547169811321,4.772192513368985,0.16167702269033526,105,0.08808697758060799,0.8666666666666667,3.911650485436926,0.17371384169489623
0.85,0.3,1.5,10,211,0.09030810780632648,0.7867298578199052,6.372319809320063,0.13056710260023474,71,0.07756237122811642,0.7464788732394366,3.995754738873897,0.1074984888654673,72,0.13510711569639022,0.8472222222222222,2.7786000017108616,0.19645333068025989
0.85,0.3,1.5,20,328,0.1180324646823366,0.7713414634146342,4.6360354100229575,0.14781109465863046,109,0.10743442465380991,0.7247706422018348,3.974830795262262,0.1216710925043008,118,0.21426186609716327,0.8050847457627118,4.214468207363421,0.257800394095183
0.85,0.3,1.5,30,437,0.07037656622745593,0.7391304347826086,7.048027601425645,0.09025398132092205,129,0.18207375320856323,0.7596899224806202,4.5750919967272505,0.20835167662408924,138,0.3492567093802268,0.8405797101449275,3.4099893955883545,0.35841117362114033
0.85,0.3,2.0,10,200,0.10554806922600607,0.81,5.0997888382130165,0.1577415441223037,67,0.07198717130289747,0.7761194029850746,2.8309659090908728,0.10949396805657985,72,0.12866495727104377,0.8611111111111112,3.2943647925841635,0.19397342757073066
0.85,0.3,2.0,20,304,0.11417349224814291,0.7763157894736842,4.1966619236584055,0.14269963691947674,100,0.09164460413286626,0.75,3.213056433697748,0.11723149926491182,115,0.20631737394299307,0.8173913043478261,4.406126723372861,0.25481510881384345
0.85,0.3,2.0,30,411,0.07311446245924118,0.7518248175182481,6.576015198419734,0.09535971505919642,123,0.1535456334864624,0.7723577235772358,5.146018132810877,0.19407075345374022,143,0.30133430246999904,0.8321678321678322,5.1306421578142505,0.31293730283563276
0.85,0.3,2.5,10,192,0.1034041130857245,0.8177083333333334,5.217994542737316,0.1572965046240106,62,0.09368328780642796,0.8064516129032258,2.8309659090908728,0.15050067427744288,72,0.11820337432301459,0.8611111111111112,3.466564358815565,0.1784804078083902
0.85,0.3,2.5,20,289,0.12019881786106594,0.7854671280276817,4.029920961179202,0.15081154661987312,94,0.10466178194777478,0.7659574468085106,3.213056433697748,0.1349221584561831,114,0.18016640892357022,0.8157894736842105,5.058944791830168,0.22737045769319258
0.85,0.3,2.5,30,384,0.07893937975703855,0.7604166666666666,6.611751006739807,0.10330708049600196,119,0.142913272494679,0.7815126050420168,4.146018132810877,0.18566350183757663,138,0.2794382773470974,0.8333333333333334,5.1533209198206436,0.296188219457374
0.85,0.5,1.5,10,203,0.049013003550754164,0.7832512315270936,6.872086553164722,0.07867395624395344,70,0.06722142551097147,0.7428571428571429,4.331656339222513,0.09318043967799672,69,0.10890404343194712,0.855072463768116,2.0,0.1854331787577968
0.85,0.5,1.5,20,310,0.0453509787700938,0.7645161290322581,5.744504797778021,0.06864890549847079,104,0.05275181923316722,0.7211538461538461,6.635876273691338,0.06607536053055213,103,0.22556347004999508,0.8446601941747572,2.0,0.3032531715896325
